Rider Id,City Name,Contract Name,Vehicle Name,Batch Number,TGA Status,Error Codes,# Shifts,Working Days,Planned Working Hours,Actual Working Hours,Avg. Working Hours/ Day,Attendance Rate,Break Hours,Lost Hours,Acceptance Rate,Contact Rate,No Shows,No Show %,Notified Deliveries,Completed Deliveries,Accepted Deliveries,Not Accepted Deliveries,Stacked Deliveries,Declined Deliveries,Cancelled Deliveries
2003967,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,3,1,11.25,11.11,11.11,0.9875555555555555,0,0.1388888888888889,1,0,0,0,10,10,10,0,0,0,0
2654534,Riyadh,shorouk_mansoura_ftr,car,1,0,0,2,1,5.75,6.12,6.12,1,0,0,1,0,0,0,7,5,7,-1,0,1,0
1811713,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,12.75,12.27,12.27,0.9623529411764705,0,0.5213888888888889,0.92,0,0,0,26,22,24,0,2,2,1
2078585,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,3,1,11.75,11.78,11.78,1,0,0.008333333333333333,0.9523809523809523,0.05,0,0,22,19,21,0,4,1,1
2539138,Riyadh,shorouk_mansoura_ftr,car,1,0,0,3,1,10.75,11.08,11.08,1,0,0,1,0,0,0,16,16,16,0,0,0,0
2091748,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,4,1,17,17.18,17.18,1,0.5994444444444444,0.0044444444444444444,1,0.043478260869565216,0,0,22,22,22,0,6,0,1
2597303,Riyadh,shorouk_mansoura_ftr,car,1,0,0,3,1,11,10.53,10.53,0.9572727272727272,0.7833333333333333,0,1,0.0625,0,0,18,16,18,-1,0,1,0
2014382,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,10.5,10.18,10.18,0.9695238095238095,0.95,0.004166666666666667,0.9473684210526315,0,0,0,19,18,18,0,2,1,0
2642263,Riyadh,shorouk_mansoura_ftr,car,1,0,0,3,1,11.25,11.5,11.5,1,0,0,1,0,0,0,13,13,13,0,0,0,0
1815910,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,3,1,10.75,10.29,10.29,0.9572093023255813,0.26055555555555554,0.2847222222222222,0.9090909090909091,0,0,0,22,19,20,0,4,2,1
1817363,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,2,1,10.75,9.77,9.77,0.9088372093023256,0.07361111111111111,0.9111111111111111,0.8888888888888888,0,0,0,9,8,8,0,0,1,0
2601456,Riyadh,shorouk_mansoura_ftr,car,1,0,0,3,1,11,11.55,11.55,1,0,0,1,0,0,0,19,20,19,0,2,0,0
2085770,Riyadh,shorouk_mansoura_ftr,car,4,0,0,3,1,13.75,13.73,13.73,0.9985454545454546,0.041944444444444444,0.6397222222222222,0.9130434782608695,0.05263157894736842,0,0,23,18,21,-1,2,3,1
1817375,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,10.75,11.22,11.22,1,0,0.04694444444444444,1,0,0,0,17,16,17,0,6,0,0
1811671,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,1,1,3.75,3.85,3.85,1,0,0,1,0,0,0,9,9,9,0,4,0,0
2642282,Riyadh,shorouk_mansoura_ftr,car,1,0,0,3,1,13,13.92,13.92,1,0.49833333333333335,0,1,0,0,0,14,14,14,0,0,0,0
1816464,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,11,10.56,10.56,0.9600000000000001,0.5141666666666667,0,0.625,0,0,0,8,5,5,0,0,3,0
2014470,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,2,1,7.5,7.42,7.42,0.9893333333333333,0,0.08611111111111111,0.6,0,0,0,5,3,3,1,0,1,0
2003965,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,11.75,10.42,10.42,0.8868085106382979,0.5752777777777778,0.7669444444444444,1,0.08333333333333333,0,0,12,11,12,0,8,0,1
2003946,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,3,1,12.75,11.61,11.61,0.9105882352941176,0.25555555555555554,1.1305555555555555,0.6923076923076923,0,0,0,13,10,9,0,0,4,0
2539859,Riyadh,shorouk_mansoura_ftr,car,1,0,0,3,1,10.75,11,11,1,0,0,1,0,0,0,15,15,15,0,2,0,0
2086230,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,3,1,12.25,11.03,11.03,0.900408163265306,1.0066666666666666,0.5172222222222222,0.9090909090909091,0.16666666666666666,0,0,22,18,20,0,4,2,0
2003943,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,3,1,11.75,11.74,11.74,0.9991489361702128,0,0.0075,0.9130434782608695,0,0,0,23,21,21,0,6,2,0
2605310,Riyadh,shorouk_mansoura_ftr,car,1,0,0,3,1,10.75,11.52,11.52,1,0,0,1,0,0,0,13,13,13,0,0,0,0
